Gene	Name/Alias	HGNC ID	Location	Metabolic pathway	Reference
ACOT1	acyl-CoA thioesterase 1	HGNC:33128	14q24.3	Acyl-CoA hydrolysis	https://metabolicatlas.org/
ACOT2	acyl-CoA thioesterase 2	HGNC:18431	14q24.3	Acyl-CoA hydrolysis	
ACOT4	acyl-CoA thioesterase 4	HGNC:19748	14q24.3	Acyl-CoA hydrolysis	
ACOT6	acyl-CoA thioesterase 6	HGNC:33159	14q24.3	Acyl-CoA hydrolysis	
ACOT7	acyl-CoA thioesterase 7	HGNC:24157	1p36.31	Acyl-CoA hydrolysis	
ACOT9	acyl-CoA thioesterase 9	HGNC:17152	Xp22.11	Acyl-CoA hydrolysis	
BAAT	bile acid-CoA:amino acid N-acyltransferase	HGNC:932	9q31.1	Acyl-CoA hydrolysis	
AADAC	arylacetamide deacetylase	HGNC:17	3q25.1	Acylglycerides metabolism	
ABHD12	abhydrolase domain containing 12, lysophospholipase	HGNC:15868	20p11.21	Acylglycerides metabolism	
ABHD6	abhydrolase domain containing 6, acylglycerol lipase	HGNC:21398	3p14.3	Acylglycerides metabolism	
CEL	carboxyl ester lipase	HGNC:1848	9q34.13	Acylglycerides metabolism	
DAGLA	diacylglycerol lipase alpha	HGNC:1165	11q12.2	Acylglycerides metabolism	
DAGLB	diacylglycerol lipase beta	HGNC:28923	7p22.1	Acylglycerides metabolism	
DGAT1	diacylglycerol O-acyltransferase 1	HGNC:2843	8q24.3	Acylglycerides metabolism	
DGAT2	diacylglycerol O-acyltransferase 2	HGNC:16940	11q13.5	Acylglycerides metabolism	
DGKA	diacylglycerol kinase alpha	HGNC:2849	12q13.2	Acylglycerides metabolism	
DGKB	diacylglycerol kinase beta	HGNC:2850	7p21.2	Acylglycerides metabolism	
DGKD	diacylglycerol kinase delta	HGNC:2851	2q37.1	Acylglycerides metabolism	
DGKE	diacylglycerol kinase epsilon	HGNC:2852	17q22	Acylglycerides metabolism	
DGKG	diacylglycerol kinase gamma	HGNC:2853	3q27.2-q27.3	Acylglycerides metabolism	
DGKH	diacylglycerol kinase eta	HGNC:2854	13q14.11	Acylglycerides metabolism	
DGKI	diacylglycerol kinase iota	HGNC:2855	7q33	Acylglycerides metabolism	
DGKK	diacylglycerol kinase kappa	HGNC:32395	Xp11.22	Acylglycerides metabolism	
DGKQ	diacylglycerol kinase theta	HGNC:2856	4p16.3	Acylglycerides metabolism	
DGKZ	diacylglycerol kinase zeta	HGNC:2857	11p11.2	Acylglycerides metabolism	
GNPAT	glyceronephosphate O-acyltransferase	HGNC:4416	1q42.2	Acylglycerides metabolism	
GPD2	glycerol-3-phosphate dehydrogenase 2	HGNC:4456	2q24.1	Acylglycerides metabolism	
GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	HGNC:24945	8q24.3	Acylglycerides metabolism	
HSPG2	heparan sulfate proteoglycan 2	HGNC:5273	1p36.12	Acylglycerides metabolism	
LIPC	lipase C, hepatic type	HGNC:6619	15q21.3	Acylglycerides metabolism	
LIPE	lipase E, hormone sensitive type	HGNC:6621	19q13.2	Acylglycerides metabolism	
LIPF	lipase F, gastric type	HGNC:6622	10q23.31	Acylglycerides metabolism	
LIPG	lipase G, endothelial type	HGNC:6623	18q21.1	Acylglycerides metabolism	
LPL	lipoprotein lipase	HGNC:6677	8p21.3	Acylglycerides metabolism	
MGLL	monoglyceride lipase	HGNC:17038	3q21.3	Acylglycerides metabolism	
MOGAT1	monoacylglycerol O-acyltransferase 1	HGNC:18210	2q36.1	Acylglycerides metabolism	
MOGAT2	monoacylglycerol O-acyltransferase 2	HGNC:23248	11q13.5	Acylglycerides metabolism	
MOGAT3	monoacylglycerol O-acyltransferase 3	HGNC:23249	7q22.1	Acylglycerides metabolism	
PNLIP	pancreatic lipase	HGNC:9155	10q25.3	Acylglycerides metabolism	
PNLIPRP1	pancreatic lipase related protein 1	HGNC:9156	10q25.3	Acylglycerides metabolism	
PNLIPRP2	pancreatic lipase related protein 2 (gene/pseudogene)	HGNC:9157	10q25.3	Acylglycerides metabolism	
PNLIPRP3	pancreatic lipase related protein 3	HGNC:23492	10q25.3	Acylglycerides metabolism	
PNPLA2	patatin like phospholipase domain containing 2	HGNC:30802	11p15.5	Acylglycerides metabolism	
PNPLA3	patatin like phospholipase domain containing 3	HGNC:18590	22q13.31	Acylglycerides metabolism	
PNPLA4	patatin like phospholipase domain containing 4	HGNC:24887	Xp22.31	Acylglycerides metabolism	
SDC1	syndecan 1	HGNC:10658	2p24.1	Acylglycerides metabolism	
AADAT	aminoadipate aminotransferase	HGNC:17929	4q33	"Alanine; aspartate and glutamate metabolism"	
ABAT	4-aminobutyrate aminotransferase	HGNC:23	16p13.2	"Alanine; aspartate and glutamate metabolism"	
ACY3	aminoacylase 3	HGNC:24104	11q13.2	"Alanine; aspartate and glutamate metabolism"	
ALDH4A1	aldehyde dehydrogenase 4 family member A1	HGNC:406	1p36.13	"Alanine; aspartate and glutamate metabolism"	
ALDH5A1	aldehyde dehydrogenase 5 family member A1	HGNC:408	6p22.3	"Alanine; aspartate and glutamate metabolism"	
ASL	argininosuccinate lyase	HGNC:746	7q11.21	"Alanine; aspartate and glutamate metabolism"	
ASNS	asparagine synthetase (glutamine-hydrolyzing)	HGNC:753	7q21.3	"Alanine; aspartate and glutamate metabolism"	
ASPA	aspartoacylase	HGNC:756	17p13.2	"Alanine; aspartate and glutamate metabolism"	
ASPG	asparaginase	HGNC:20123	14q32.33	"Alanine; aspartate and glutamate metabolism"	
ASRGL1	asparaginase and isoaspartyl peptidase 1	HGNC:16448	11q12.3	"Alanine; aspartate and glutamate metabolism"	
ASS1	argininosuccinate synthase 1	HGNC:758	9q34.11	"Alanine; aspartate and glutamate metabolism"	
CPS1	carbamoyl-phosphate synthase 1	HGNC:2323	2q34	"Alanine; aspartate and glutamate metabolism"	
CYP21A2	cytochrome P450 family 21 subfamily A member 2	HGNC:2600	6p21.33	"Alanine; aspartate and glutamate metabolism"	
PM20D1	peptidase M20 domain containing 1	HGNC:26518	1q32.1	"Alanine; aspartate and glutamate metabolism"	
CRCP	CGRP receptor component	HGNC:17888	7q11.21	"Alanine; aspartate and glutamate metabolism"	
DDO	D-aspartate oxidase	HGNC:2727	6q21	"Alanine; aspartate and glutamate metabolism"	
FH	fumarate hydratase	HGNC:3700	1q43	"Alanine; aspartate and glutamate metabolism"	
GAD1	glutamate decarboxylase 1	HGNC:4092	2q31.1	"Alanine; aspartate and glutamate metabolism"	
GAD2	glutamate decarboxylase 2	HGNC:4093	10p12.1	"Alanine; aspartate and glutamate metabolism"	
GGACT	gamma-glutamylamine cyclotransferase	HGNC:25100	13q32.3	"Alanine; aspartate and glutamate metabolism"	
GGCT	gamma-glutamylcyclotransferase	HGNC:21705	7p14.3	"Alanine; aspartate and glutamate metabolism"	
GLS	glutaminase	HGNC:4331	2q32.2	"Alanine; aspartate and glutamate metabolism"	
GLS2	glutaminase 2	HGNC:29570	12q13.3	"Alanine; aspartate and glutamate metabolism"	
